 , LINK, DESCRIPCIÓN, ETAPA, FECHA PUBLICACIÓN, PROYECTO CONTRATADO, ESTADO, LOCALIZACIÓN, INVERSIÓN, TIPO DESARROLLO, MUNICIPIO, COLONIA, C.P.:, SECTOR, CATEGORÍA, FECHA INICIO PROBABLE, FECHA TERMINO PROBABLE, CONSTRUCCIÓN, TERRENO, SUCURSAL, Observaciones, Clasificación, Detalles, Descripción extra
136, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193795,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
137, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193796,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
138, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193797,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
139, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193798,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
140, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193799,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
141, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193800,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
142, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193801,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
143, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193802,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
144, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193803,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
145, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193804,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
146, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193805,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
147, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193806,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
148, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193807,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
149, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193808,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
150, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193809,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
151, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193810,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
152, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193811,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
153, http://www.construleads.com/cl20/ficha-obra/?muestra=1&claveProyecto=OC193812,, , , , , , $0.00 , , , , , , , , , 0, 0, Teléfono:  Dirección: , , , , 
